locus_tag	ftype	length_bp	gene	EC_number	COG	product
LEFGBFNB_00965	CDS	375				hypothetical protein
LEFGBFNB_00966	CDS	1344	dapE_1	3.5.1.18		putative succinyl-diaminopimelate desuccinylase
LEFGBFNB_00967	CDS	420		2.7.1.-		putative ketoamine kinase
LEFGBFNB_00968	CDS	726	glnH_1		COG0834	Glutamine-binding periplasmic protein
LEFGBFNB_00969	CDS	438	eamA		COG0697	putative amino-acid metabolite efflux pump
LEFGBFNB_00970	CDS	696				hypothetical protein
LEFGBFNB_00971	CDS	624				hypothetical protein
LEFGBFNB_00972	CDS	1356				hypothetical protein
LEFGBFNB_00973	CDS	186				hypothetical protein
LEFGBFNB_00974	CDS	792	map_1	3.4.11.18	COG0024	Methionine aminopeptidase 1
LEFGBFNB_00975	CDS	1548	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
LEFGBFNB_00976	CDS	1404				hypothetical protein
LEFGBFNB_00977	CDS	1371				hypothetical protein
LEFGBFNB_00978	CDS	276				hypothetical protein
LEFGBFNB_00979	CDS	609	gyrA_1	5.6.2.2		DNA gyrase subunit A
LEFGBFNB_00980	CDS	1143	kdpB_2	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
LEFGBFNB_00981	CDS	762			COG0789	putative HTH-type transcriptional regulator
LEFGBFNB_00982	CDS	483				putative protein
LEFGBFNB_00983	CDS	612				hypothetical protein
LEFGBFNB_00984	CDS	387				hypothetical protein
LEFGBFNB_00985	CDS	2187				hypothetical protein
LEFGBFNB_00986	CDS	969	ngcF_1		COG1175	Diacetylchitobiose uptake system permease protein NgcF
LEFGBFNB_00987	CDS	858	araQ_7		COG0395	L-arabinose transport system permease protein AraQ
LEFGBFNB_00988	CDS	1296				hypothetical protein
LEFGBFNB_00989	CDS	918				hypothetical protein
LEFGBFNB_00990	CDS	420		3.1.3.21	COG0647	D,L-glycerol 3-phosphate phosphatase
LEFGBFNB_00991	CDS	645				hypothetical protein
LEFGBFNB_00992	CDS	864	yteP_3		COG4209	putative multiple-sugar transport system permease YteP
LEFGBFNB_00993	CDS	975				hypothetical protein
LEFGBFNB_00994	CDS	2379	narG	1.7.5.1	COG5013	Nitrate reductase alpha subunit
LEFGBFNB_00995	CDS	225				hypothetical protein
LEFGBFNB_00996	CDS	825				hypothetical protein
LEFGBFNB_00997	CDS	306				hypothetical protein
LEFGBFNB_00998	CDS	417				hypothetical protein
LEFGBFNB_00999	CDS	285				hypothetical protein
LEFGBFNB_01000	CDS	1056				hypothetical protein
LEFGBFNB_01001	CDS	645	ligC	6.5.1.1	COG1793	DNA ligase C
LEFGBFNB_01002	CDS	1077	ligD_1		COG1793	Multifunctional non-homologous end joining protein LigD
LEFGBFNB_01003	CDS	249				hypothetical protein
LEFGBFNB_01004	CDS	1413				hypothetical protein
LEFGBFNB_01005	CDS	1149				hypothetical protein
LEFGBFNB_01006	CDS	786	fgd_2	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
LEFGBFNB_01007	CDS	693				hypothetical protein
LEFGBFNB_01008	CDS	1074	iolU	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
LEFGBFNB_01009	CDS	231				hypothetical protein
LEFGBFNB_01010	CDS	432	prpB	4.1.3.30	COG2513	2-methylisocitrate lyase
LEFGBFNB_01011	tRNA	83				tRNA-Leu(gag)
LEFGBFNB_01012	CDS	282				hypothetical protein
LEFGBFNB_01013	CDS	105				hypothetical protein
LEFGBFNB_01014	CDS	246	nagF	2.7.1.193	COG1264	PTS system N-acetylglucosamine-specific EIIB component
LEFGBFNB_01015	CDS	279	tusA			Sulfur carrier protein TusA
LEFGBFNB_01016	CDS	384				hypothetical protein
LEFGBFNB_01017	CDS	756	smc_1		COG1196	Chromosome partition protein Smc
LEFGBFNB_01018	CDS	426				hypothetical protein
LEFGBFNB_01019	CDS	1176				hypothetical protein
LEFGBFNB_01020	CDS	1326	ywqF	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase YwqF
LEFGBFNB_01021	CDS	486	yafP	2.3.1.-	COG0454	putative N-acetyltransferase YafP
LEFGBFNB_01022	CDS	510				hypothetical protein
LEFGBFNB_01023	CDS	864	dhaA	3.8.1.5		Haloalkane dehalogenase
LEFGBFNB_01024	CDS	1098				hypothetical protein
LEFGBFNB_01025	CDS	738		1.-.-.-		putative oxidoreductase
LEFGBFNB_01026	CDS	366			COG0406	putative protein
LEFGBFNB_01027	CDS	249				hypothetical protein
LEFGBFNB_01028	CDS	132				hypothetical protein
LEFGBFNB_01029	CDS	231				hypothetical protein
LEFGBFNB_01030	CDS	213				hypothetical protein
LEFGBFNB_01031	CDS	327				hypothetical protein
LEFGBFNB_01032	CDS	189				hypothetical protein
LEFGBFNB_01033	CDS	477				hypothetical protein
LEFGBFNB_01034	CDS	1686	pyrG	6.3.4.2	COG0504	CTP synthase
LEFGBFNB_01035	CDS	264				hypothetical protein
LEFGBFNB_01036	CDS	264				hypothetical protein
LEFGBFNB_01037	CDS	2058	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
LEFGBFNB_01038	CDS	150				hypothetical protein
LEFGBFNB_01039	CDS	429	vapC_1	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
LEFGBFNB_01040	CDS	861		3.4.16.-	COG2027	Carboxypeptidase
LEFGBFNB_01041	CDS	414	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
LEFGBFNB_01042	CDS	714	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
LEFGBFNB_01043	CDS	879	livH_2		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
LEFGBFNB_01044	CDS	231	etfA		COG2025	Electron transfer flavoprotein subunit alpha
LEFGBFNB_01045	CDS	735	fabG3	1.1.1.53		3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase
LEFGBFNB_01046	CDS	1260	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
LEFGBFNB_01047	CDS	987	coaA	2.7.1.33	COG1072	Pantothenate kinase
LEFGBFNB_01048	CDS	705	betI_2			HTH-type transcriptional regulator BetI
LEFGBFNB_01049	CDS	858				hypothetical protein
LEFGBFNB_01050	CDS	876	glnH_2		COG0834	ABC transporter glutamine-binding protein GlnH
LEFGBFNB_01051	CDS	828	glnQ_1			Glutamine transport ATP-binding protein GlnQ
LEFGBFNB_01052	CDS	171				hypothetical protein
LEFGBFNB_01053	CDS	849	ureG			Urease accessory protein UreG
LEFGBFNB_01054	CDS	288				hypothetical protein
LEFGBFNB_01055	CDS	255	arsR		COG0640	Arsenical resistance operon repressor
LEFGBFNB_01056	CDS	711				hypothetical protein
LEFGBFNB_01057	CDS	336	cmtR		COG0640	HTH-type transcriptional regulator CmtR
LEFGBFNB_01058	CDS	408				hypothetical protein
LEFGBFNB_01059	CDS	717				hypothetical protein
LEFGBFNB_01060	CDS	315				hypothetical protein
LEFGBFNB_01061	CDS	675				hypothetical protein
LEFGBFNB_01062	CDS	1671				hypothetical protein
LEFGBFNB_01063	CDS	192				hypothetical protein
LEFGBFNB_01064	CDS	321				hypothetical protein
LEFGBFNB_01065	CDS	1179				hypothetical protein
LEFGBFNB_01066	CDS	855				hypothetical protein
LEFGBFNB_01067	CDS	453				hypothetical protein
LEFGBFNB_01068	CDS	789	ylmA	3.6.3.-	COG1119	putative ABC transporter ATP-binding protein YlmA
LEFGBFNB_01069	CDS	315				hypothetical protein
LEFGBFNB_01070	CDS	336				hypothetical protein
LEFGBFNB_01071	CDS	477				hypothetical protein
LEFGBFNB_01072	CDS	1470	pbpA		COG0768	Penicillin-binding protein A
LEFGBFNB_01073	CDS	1143	tal	2.2.1.2	COG0176	Transaldolase
LEFGBFNB_01074	CDS	462				hypothetical protein
LEFGBFNB_01075	CDS	342	hchA	3.5.1.124		Protein/nucleic acid deglycase HchA
LEFGBFNB_01076	CDS	606	kduI	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
LEFGBFNB_01077	CDS	1338				hypothetical protein
LEFGBFNB_01078	CDS	1146	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
LEFGBFNB_01079	CDS	876				hypothetical protein
LEFGBFNB_01080	CDS	747				hypothetical protein
LEFGBFNB_01081	CDS	435		3.1.11.-	COG0258	5'-3' exonuclease
LEFGBFNB_01082	CDS	267				hypothetical protein
LEFGBFNB_01083	CDS	801				hypothetical protein
LEFGBFNB_01084	CDS	141				hypothetical protein
LEFGBFNB_01085	CDS	345				hypothetical protein
LEFGBFNB_01086	CDS	429	sigL		COG1595	ECF RNA polymerase sigma factor SigL
LEFGBFNB_01087	CDS	681				hypothetical protein
LEFGBFNB_01088	CDS	123				hypothetical protein
LEFGBFNB_01089	CDS	567				hypothetical protein
LEFGBFNB_01090	CDS	276				hypothetical protein
LEFGBFNB_01091	CDS	231				hypothetical protein
LEFGBFNB_01092	CDS	783	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
LEFGBFNB_01093	CDS	807	nanK	2.7.1.60		N-acetylmannosamine kinase
LEFGBFNB_01094	CDS	579				hypothetical protein
LEFGBFNB_01095	CDS	846				hypothetical protein
LEFGBFNB_01096	CDS	1080				hypothetical protein
LEFGBFNB_01097	CDS	1245				hypothetical protein
LEFGBFNB_01098	CDS	252	nrdH_1		COG0695	Glutaredoxin-like protein NrdH
LEFGBFNB_01099	CDS	759	garK	2.7.1.165	COG1929	Glycerate 2-kinase
LEFGBFNB_01100	CDS	1038	czcO	1.-.-.-	COG2072	putative oxidoreductase CzcO
LEFGBFNB_01101	CDS	261				hypothetical protein
LEFGBFNB_01102	CDS	393				hypothetical protein
LEFGBFNB_01103	CDS	1116				hypothetical protein
LEFGBFNB_01104	CDS	699				hypothetical protein
LEFGBFNB_01105	CDS	1200	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
LEFGBFNB_01106	CDS	771				hypothetical protein
LEFGBFNB_01107	CDS	411				hypothetical protein
LEFGBFNB_01108	CDS	474				hypothetical protein
LEFGBFNB_01109	CDS	699				hypothetical protein
LEFGBFNB_01110	CDS	243				hypothetical protein
LEFGBFNB_01111	CDS	1125	uxuA	4.2.1.8	COG1312	Mannonate dehydratase
LEFGBFNB_01112	CDS	420				hypothetical protein
LEFGBFNB_01113	CDS	255	malT_2			HTH-type transcriptional regulator MalT
LEFGBFNB_01114	CDS	378	gcvH		COG0509	Glycine cleavage system H protein
LEFGBFNB_01115	CDS	207				hypothetical protein
LEFGBFNB_01116	CDS	201				hypothetical protein
LEFGBFNB_01117	CDS	1140				hypothetical protein
LEFGBFNB_01118	CDS	168				hypothetical protein
LEFGBFNB_01119	CDS	189				hypothetical protein
LEFGBFNB_01120	CDS	534	gluD	1.4.1.2		NAD-specific glutamate dehydrogenase
LEFGBFNB_01121	CDS	276	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
LEFGBFNB_01122	CDS	705	gbpA_2			GlcNAc-binding protein A
LEFGBFNB_01123	CDS	111				hypothetical protein
LEFGBFNB_01124	CDS	93				hypothetical protein
LEFGBFNB_01125	CDS	129				hypothetical protein
LEFGBFNB_01126	CDS	174				hypothetical protein
LEFGBFNB_01127	CDS	861				hypothetical protein
LEFGBFNB_01128	CDS	144				hypothetical protein
LEFGBFNB_01129	CDS	267				hypothetical protein
LEFGBFNB_01130	CDS	279				hypothetical protein
LEFGBFNB_01131	CDS	402				hypothetical protein
LEFGBFNB_01132	CDS	873	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
LEFGBFNB_01133	CDS	372				hypothetical protein
LEFGBFNB_01134	CDS	555				hypothetical protein
LEFGBFNB_01135	CDS	747	glnH_3		COG0834	ABC transporter glutamine-binding protein GlnH
LEFGBFNB_01136	CDS	414				hypothetical protein
LEFGBFNB_01137	CDS	510	alaC_1	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
LEFGBFNB_01138	CDS	1299	gltA2	2.3.3.16	COG0372	Citrate synthase 1
LEFGBFNB_01139	CDS	498	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
LEFGBFNB_01140	CDS	1359				hypothetical protein
LEFGBFNB_01141	CDS	468				hypothetical protein
LEFGBFNB_01142	CDS	171				hypothetical protein
LEFGBFNB_01143	CDS	393				hypothetical protein
LEFGBFNB_01144	CDS	192				hypothetical protein
LEFGBFNB_01145	CDS	531				hypothetical protein
LEFGBFNB_01146	CDS	357				hypothetical protein
LEFGBFNB_01147	CDS	669				hypothetical protein
LEFGBFNB_01148	CDS	132				hypothetical protein
LEFGBFNB_01149	CDS	2853	pulA	3.2.1.41		Pullulanase
LEFGBFNB_01150	CDS	234				hypothetical protein
LEFGBFNB_01151	CDS	828				hypothetical protein
LEFGBFNB_01152	CDS	210				hypothetical protein
LEFGBFNB_01153	CDS	849	drrB_1			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
LEFGBFNB_01154	CDS	345				hypothetical protein
LEFGBFNB_01155	CDS	438			COG0589	Universal stress protein
LEFGBFNB_01156	CDS	1485	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
LEFGBFNB_01157	CDS	405	celD_1	3.2.1.4		Endoglucanase E-4
LEFGBFNB_01158	CDS	420				hypothetical protein
LEFGBFNB_01159	CDS	141				hypothetical protein
LEFGBFNB_01160	CDS	318				hypothetical protein
LEFGBFNB_01161	CDS	648	rimJ	2.3.1.267	COG1670	[Ribosomal protein S5]-alanine N-acetyltransferase
LEFGBFNB_01162	CDS	627	metH	2.1.1.13	COG0646	Methionine synthase
LEFGBFNB_01163	CDS	507	oleD	1.1.1.412	COG0451	2-alkyl-3-oxoalkanoate reductase
LEFGBFNB_01164	CDS	1137				hypothetical protein
LEFGBFNB_01165	CDS	780	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
LEFGBFNB_01166	CDS	456				hypothetical protein
LEFGBFNB_01167	CDS	1503	metY	2.5.1.49	COG2873	O-acetyl-L-homoserine sulfhydrylase
LEFGBFNB_01168	CDS	240				hypothetical protein
LEFGBFNB_01169	CDS	255				hypothetical protein
LEFGBFNB_01170	CDS	402				hypothetical protein
LEFGBFNB_01171	CDS	369				hypothetical protein
LEFGBFNB_01172	CDS	264	whiA		COG1481	putative cell division protein WhiA
LEFGBFNB_01173	CDS	1005	gap	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase
LEFGBFNB_01174	CDS	462				hypothetical protein
LEFGBFNB_01175	CDS	363				hypothetical protein
LEFGBFNB_01176	CDS	462				hypothetical protein
LEFGBFNB_01177	CDS	189				hypothetical protein
LEFGBFNB_01178	CDS	456	phnO	2.3.1.280		Aminoalkylphosphonate N-acetyltransferase
LEFGBFNB_01179	CDS	1497		3.2.1.21		Bifunctional beta-D-glucosidase/beta-D-fucosidase
LEFGBFNB_01180	CDS	966	hrdB		COG0568	RNA polymerase principal sigma factor HrdB
LEFGBFNB_01181	CDS	903	dop	3.4.-.-		Depupylase
LEFGBFNB_01182	CDS	753				hypothetical protein
LEFGBFNB_01183	CDS	180				hypothetical protein
LEFGBFNB_01184	CDS	1110				hypothetical protein
LEFGBFNB_01185	CDS	123				hypothetical protein
LEFGBFNB_01186	CDS	537	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
LEFGBFNB_01187	CDS	630	gyrB_2	5.6.2.2		DNA gyrase subunit B
LEFGBFNB_01188	CDS	942				hypothetical protein
LEFGBFNB_01189	CDS	354	rbpA_1			RNA polymerase-binding protein RbpA
LEFGBFNB_01190	CDS	1659	cimA	2.3.1.182	COG0119	(R)-citramalate synthase
LEFGBFNB_01191	CDS	600				hypothetical protein
LEFGBFNB_01192	CDS	1419				hypothetical protein
LEFGBFNB_01193	CDS	1170				hypothetical protein
LEFGBFNB_01194	CDS	588				hypothetical protein
LEFGBFNB_01195	CDS	429	mutT2	3.6.1.55	COG0494	Putative 8-oxo-dGTP diphosphatase 2
LEFGBFNB_01196	CDS	810				hypothetical protein
LEFGBFNB_01197	CDS	264				hypothetical protein
LEFGBFNB_01198	CDS	543	ykoE		COG4721	Putative HMP/thiamine permease protein YkoE
LEFGBFNB_01199	CDS	252				hypothetical protein
LEFGBFNB_01200	CDS	489				hypothetical protein
LEFGBFNB_01201	CDS	288				hypothetical protein
LEFGBFNB_01202	CDS	111				hypothetical protein
LEFGBFNB_01203	CDS	1029	rutG		COG2233	Putative pyrimidine permease RutG
LEFGBFNB_01204	CDS	861				hypothetical protein
LEFGBFNB_01205	CDS	369				hypothetical protein
LEFGBFNB_01206	CDS	159				hypothetical protein
LEFGBFNB_01207	CDS	1245	fabF	2.3.1.179		3-oxoacyl-[acyl-carrier-protein] synthase 2
LEFGBFNB_01208	CDS	1368				hypothetical protein
LEFGBFNB_01209	CDS	222				hypothetical protein
LEFGBFNB_01210	CDS	492	mscL		COG1970	Large-conductance mechanosensitive channel
LEFGBFNB_01211	CDS	156				hypothetical protein
LEFGBFNB_01212	CDS	225				hypothetical protein
LEFGBFNB_01213	CDS	126				hypothetical protein
LEFGBFNB_01214	CDS	669	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
LEFGBFNB_01215	CDS	165				hypothetical protein
LEFGBFNB_01216	CDS	804				hypothetical protein
LEFGBFNB_01217	CDS	111				hypothetical protein
LEFGBFNB_01218	CDS	321	ricR_2		COG1937	Copper-sensing transcriptional repressor RicR
LEFGBFNB_01219	CDS	132				hypothetical protein
LEFGBFNB_01220	CDS	150				hypothetical protein
LEFGBFNB_01221	CDS	423	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
LEFGBFNB_01222	CDS	282	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
LEFGBFNB_01223	CDS	351				hypothetical protein
LEFGBFNB_01224	CDS	357				hypothetical protein
LEFGBFNB_01225	CDS	102				hypothetical protein
LEFGBFNB_01226	CDS	1104				hypothetical protein
LEFGBFNB_01227	CDS	600				hypothetical protein
LEFGBFNB_01228	CDS	552	yceI_1			Protein YceI
LEFGBFNB_01229	CDS	504				hypothetical protein
LEFGBFNB_01230	CDS	1065	atzC	3.5.4.42		N-isopropylammelide isopropyl amidohydrolase
LEFGBFNB_01231	CDS	774				hypothetical protein
LEFGBFNB_01232	tRNA	75				tRNA-Ala(cgc)
LEFGBFNB_01233	CDS	120				hypothetical protein
LEFGBFNB_01234	CDS	102				hypothetical protein
LEFGBFNB_01235	CDS	795				hypothetical protein
LEFGBFNB_01236	CDS	519				hypothetical protein
LEFGBFNB_01237	CDS	1023				hypothetical protein
LEFGBFNB_01238	CDS	1134	ylbL		COG3480	putative protein YlbL
LEFGBFNB_01239	CDS	267				hypothetical protein
LEFGBFNB_01240	CDS	375				hypothetical protein
LEFGBFNB_01241	CDS	522				hypothetical protein
LEFGBFNB_01242	CDS	429				hypothetical protein
LEFGBFNB_01243	CDS	171				hypothetical protein
LEFGBFNB_01244	CDS	456				hypothetical protein
LEFGBFNB_01245	CDS	264	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
LEFGBFNB_01246	CDS	330				hypothetical protein
LEFGBFNB_01247	CDS	372				hypothetical protein
LEFGBFNB_01248	CDS	759	comEC		COG0658	ComE operon protein 3
LEFGBFNB_01249	CDS	348				hypothetical protein
LEFGBFNB_01250	CDS	1101				hypothetical protein
LEFGBFNB_01251	CDS	801				hypothetical protein
LEFGBFNB_01252	CDS	609	bioN		COG0619	Energy-coupling factor transporter transmembrane protein BioN
LEFGBFNB_01253	CDS	231				hypothetical protein
LEFGBFNB_01254	CDS	711				hypothetical protein
LEFGBFNB_01255	CDS	816		2.4.1.54		Undecaprenyl-phosphate mannosyltransferase
LEFGBFNB_01256	CDS	177				hypothetical protein
LEFGBFNB_01257	CDS	210				hypothetical protein
LEFGBFNB_01258	CDS	438				hypothetical protein
LEFGBFNB_01259	CDS	765				hypothetical protein
LEFGBFNB_01260	CDS	1059	hmuU_1		COG0609	Hemin transport system permease protein HmuU
LEFGBFNB_01261	CDS	822				hypothetical protein
LEFGBFNB_01262	CDS	1407	lpdC	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
LEFGBFNB_01263	CDS	741	tcrX		COG0745	putative transcriptional regulatory protein TcrX
LEFGBFNB_01264	CDS	450	cysE	2.3.1.30		Serine acetyltransferase
LEFGBFNB_01265	CDS	795	hisN	3.1.3.15	COG0483	Histidinol-phosphatase
LEFGBFNB_01266	CDS	294				hypothetical protein
LEFGBFNB_01267	CDS	819	adh_1	1.1.1.1		Alcohol dehydrogenase
LEFGBFNB_01268	CDS	645				putative membrane protein
LEFGBFNB_01269	CDS	810	gltA	2.3.3.5		2-methylcitrate synthase
LEFGBFNB_01270	CDS	108				hypothetical protein
LEFGBFNB_01271	CDS	582				hypothetical protein
LEFGBFNB_01272	CDS	195				hypothetical protein
LEFGBFNB_01273	CDS	234	acsA	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
LEFGBFNB_01274	CDS	369	lipB	2.3.1.181		Octanoyltransferase
LEFGBFNB_01275	CDS	2244				hypothetical protein
LEFGBFNB_01276	CDS	219				hypothetical protein
LEFGBFNB_01277	CDS	825				hypothetical protein
LEFGBFNB_01278	CDS	267				hypothetical protein
LEFGBFNB_01279	CDS	204	cspA_1		COG1278	putative cold shock protein A
LEFGBFNB_01280	CDS	969				hypothetical protein
LEFGBFNB_01281	CDS	165	lnrK_2		COG2197	Transcriptional regulatory protein LnrK
LEFGBFNB_01282	CDS	135				hypothetical protein
LEFGBFNB_01283	CDS	300				hypothetical protein
LEFGBFNB_01284	CDS	690				hypothetical protein
LEFGBFNB_01285	CDS	369				hypothetical protein
LEFGBFNB_01286	CDS	591	ucpA	1.-.-.-		Oxidoreductase UcpA
LEFGBFNB_01287	CDS	891			COG1090	Epimerase family protein
LEFGBFNB_01288	CDS	258				hypothetical protein
LEFGBFNB_01289	CDS	762		2.5.1.68	COG0020	(2Z,6E)-farnesyl diphosphate synthase
LEFGBFNB_01290	CDS	792				hypothetical protein
LEFGBFNB_01291	CDS	387				hypothetical protein
LEFGBFNB_01292	CDS	210				hypothetical protein
LEFGBFNB_01293	CDS	246	nrdH_2		COG0695	Glutaredoxin-like protein NrdH
LEFGBFNB_01294	CDS	804				hypothetical protein
LEFGBFNB_01295	CDS	177				hypothetical protein
LEFGBFNB_01296	CDS	174				hypothetical protein
LEFGBFNB_01297	CDS	375		3.1.3.-	COG2062	putative protein
LEFGBFNB_01298	CDS	231				hypothetical protein
LEFGBFNB_01299	CDS	336				hypothetical protein
LEFGBFNB_01300	CDS	1275				hypothetical protein
LEFGBFNB_01301	CDS	312				hypothetical protein
LEFGBFNB_01302	CDS	453	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
LEFGBFNB_01303	CDS	432				hypothetical protein
LEFGBFNB_01304	CDS	771				hypothetical protein
LEFGBFNB_01305	CDS	216				hypothetical protein
LEFGBFNB_01306	CDS	426				18 kDa heat shock protein
LEFGBFNB_01307	CDS	945	fbiA	2.7.8.28	COG0391	Phosphoenolpyruvate transferase
LEFGBFNB_01308	CDS	330				hypothetical protein
LEFGBFNB_01309	CDS	519	iscS	2.8.1.7		Cysteine desulfurase IscS
LEFGBFNB_01310	CDS	627				hypothetical protein
LEFGBFNB_01311	CDS	105				hypothetical protein
LEFGBFNB_01312	CDS	423				hypothetical protein
LEFGBFNB_01313	CDS	348				hypothetical protein
LEFGBFNB_01314	CDS	351	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
LEFGBFNB_01315	CDS	423				hypothetical protein
LEFGBFNB_01316	CDS	159				hypothetical protein
LEFGBFNB_01317	CDS	270				hypothetical protein
LEFGBFNB_01318	CDS	318				hypothetical protein
LEFGBFNB_01319	CDS	171				hypothetical protein
LEFGBFNB_01320	CDS	888				hypothetical protein
LEFGBFNB_01321	CDS	399				hypothetical protein
LEFGBFNB_01322	CDS	864	yghA_2	1.-.-.-		putative oxidoreductase YghA
LEFGBFNB_01323	CDS	234				hypothetical protein
LEFGBFNB_01324	CDS	429				hypothetical protein
LEFGBFNB_01325	CDS	345	rbpA_2			RNA polymerase-binding protein RbpA
LEFGBFNB_01326	CDS	309				hypothetical protein
LEFGBFNB_01327	CDS	858				hypothetical protein
LEFGBFNB_01328	CDS	90				hypothetical protein
LEFGBFNB_01329	CDS	381				hypothetical protein
LEFGBFNB_01330	CDS	141				hypothetical protein
LEFGBFNB_01331	CDS	168				hypothetical protein
LEFGBFNB_01332	CDS	519				hypothetical protein
LEFGBFNB_01333	CDS	663	yhfK_1	4.-.-.-	COG0702	putative sugar epimerase YhfK
LEFGBFNB_01334	CDS	117				hypothetical protein
LEFGBFNB_01335	CDS	717	rplA		COG0081	50S ribosomal protein L1
LEFGBFNB_01336	CDS	303				hypothetical protein
LEFGBFNB_01337	CDS	408				hypothetical protein
LEFGBFNB_01338	CDS	594				hypothetical protein
LEFGBFNB_01339	CDS	192				hypothetical protein
LEFGBFNB_01340	CDS	387				hypothetical protein
LEFGBFNB_01341	CDS	243				hypothetical protein
LEFGBFNB_01342	CDS	489				hypothetical protein
LEFGBFNB_01343	CDS	162				hypothetical protein
LEFGBFNB_01344	CDS	516	pimB	2.4.1.346	COG0438	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase
LEFGBFNB_01345	CDS	345				hypothetical protein
LEFGBFNB_01346	CDS	246				hypothetical protein
LEFGBFNB_01347	CDS	603	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
LEFGBFNB_01348	CDS	855				hypothetical protein
LEFGBFNB_01349	CDS	678	phnX	3.11.1.1		Phosphonoacetaldehyde hydrolase
LEFGBFNB_01350	CDS	204				hypothetical protein
LEFGBFNB_01351	CDS	270	rpsO			30S ribosomal protein S15
LEFGBFNB_01352	CDS	189				hypothetical protein
LEFGBFNB_01353	CDS	273				hypothetical protein
LEFGBFNB_01354	CDS	342				hypothetical protein
LEFGBFNB_01355	CDS	465				hypothetical protein
LEFGBFNB_01356	CDS	297				hypothetical protein
LEFGBFNB_01357	CDS	420				hypothetical protein
LEFGBFNB_01358	CDS	147				hypothetical protein
LEFGBFNB_01359	CDS	189				hypothetical protein
LEFGBFNB_01360	CDS	528	bauC	1.2.1.-	COG1012	Putative 3-oxopropanoate dehydrogenase
LEFGBFNB_01361	CDS	357				hypothetical protein
LEFGBFNB_01362	CDS	663	dlaT	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
LEFGBFNB_01363	CDS	129				hypothetical protein
LEFGBFNB_01364	CDS	204				hypothetical protein
LEFGBFNB_01365	CDS	312				hypothetical protein
LEFGBFNB_01366	CDS	354	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
LEFGBFNB_01367	CDS	645	smc_2			Chromosome partition protein Smc
LEFGBFNB_01368	CDS	531	rtcB	6.5.1.-	COG1690	RNA-splicing ligase RtcB
LEFGBFNB_01369	CDS	585				hypothetical protein
LEFGBFNB_01370	CDS	909				hypothetical protein
LEFGBFNB_01371	CDS	243	pyrD	1.3.5.2		Dihydroorotate dehydrogenase (quinone)
LEFGBFNB_01372	CDS	480				hypothetical protein
LEFGBFNB_01373	CDS	276				hypothetical protein
LEFGBFNB_01374	CDS	468				hypothetical protein
LEFGBFNB_01375	CDS	300				hypothetical protein
LEFGBFNB_01376	CDS	621				hypothetical protein
LEFGBFNB_01377	CDS	207				hypothetical protein
LEFGBFNB_01378	CDS	162				hypothetical protein
LEFGBFNB_01379	CDS	312				hypothetical protein
LEFGBFNB_01380	CDS	585				hypothetical protein
